cik,ticker,company_name,exchange,collected_at,status
0001045810,NVDA,NVIDIA CORP,Nasdaq,2026-04-06 08:05:07,done
0000320193,AAPL,Apple Inc.,Nasdaq,2026-04-06 08:05:07,done
0001652044,GOOGL,Alphabet Inc.,Nasdaq,2026-04-06 08:05:08,done
0000789019,MSFT,MICROSOFT CORP,Nasdaq,2026-04-06 08:05:09,done
0001018724,AMZN,AMAZON COM INC,Nasdaq,2026-04-06 08:05:09,done
0001730168,AVGO,Broadcom Inc.,Nasdaq,2026-04-06 08:05:10,done
0001318605,TSLA,"Tesla, Inc.",Nasdaq,2026-04-06 08:05:11,done
0001326801,META,"Meta Platforms, Inc.",Nasdaq,2026-04-06 08:05:12,done
0001067983,BRK-B,BERKSHIRE HATHAWAY INC,NYSE,2026-04-06 08:05:12,done
0000104169,WMT,Walmart Inc.,Nasdaq,2026-04-06 08:05:13,done
0000059478,LLY,ELI LILLY & Co,NYSE,2026-04-06 08:05:14,done
0000019617,JPM,JPMORGAN CHASE & CO,NYSE,2026-04-06 08:05:15,done
0000034088,XOM,EXXON MOBIL CORP,NYSE,2026-04-06 08:05:15,done
0000884394,SPY,SPDR S&P 500 ETF TRUST,NYSE,2026-04-06 08:05:15,done
0000200406,JNJ,JOHNSON & JOHNSON,NYSE,2026-04-06 08:05:16,done
0001403161,V,VISA INC.,NYSE,2026-04-06 08:05:17,done
0000937966,ASML,ASML HOLDING NV,Nasdaq,2026-04-06 08:05:17,done
0000909832,COST,COSTCO WHOLESALE CORP /NEW,Nasdaq,2026-04-06 08:05:18,done
0001141391,MA,Mastercard Inc,NYSE,2026-04-06 08:05:19,done
0000093410,CVX,CHEVRON CORP,NYSE,2026-04-06 08:05:19,done
0000723125,MU,MICRON TECHNOLOGY INC,Nasdaq,2026-04-06 08:05:20,done
0001341439,ORCL,ORACLE CORP,NYSE,2026-04-06 08:05:21,done
0001065280,NFLX,NETFLIX INC,Nasdaq,2026-04-06 08:05:21,done
0001551152,ABBV,AbbVie Inc.,NYSE,2026-04-06 08:05:22,done
0001321655,PLTR,Palantir Technologies Inc.,Nasdaq,2026-04-06 08:05:23,done
0000070858,BAC,BANK OF AMERICA CORP /DE/,NYSE,2026-04-06 08:05:23,done
0000080424,PG,PROCTER & GAMBLE Co,NYSE,2026-04-06 08:05:24,done
0000002488,AMD,ADVANCED MICRO DEVICES INC,Nasdaq,2026-04-06 08:05:25,done
0000021344,KO,COCA COLA CO,NYSE,2026-04-06 08:05:25,done
0000018230,CAT,CATERPILLAR INC,NYSE,2026-04-06 08:05:26,done
0000354950,HD,"HOME DEPOT, INC.",NYSE,2026-04-06 08:05:27,done
0000858877,CSCO,"CISCO SYSTEMS, INC.",Nasdaq,2026-04-06 08:05:27,done
0000040545,GE,GENERAL ELECTRIC CO,NYSE,2026-04-06 08:05:28,done
0000310158,MRK,"Merck & Co., Inc.",NYSE,2026-04-06 08:05:29,done
0000901832,AZN,ASTRAZENECA PLC,NYSE,2026-04-06 08:05:30,done
0001577552,BABA,Alibaba Group Holding Ltd,NYSE,2026-04-06 08:05:30,done
0001114448,NVS,NOVARTIS AG,NYSE,2026-04-06 08:05:31,done
0001089113,HSBC,HSBC HOLDINGS PLC,NYSE,2026-04-06 08:05:31,done
0001094517,TM,TOYOTA MOTOR CORP/,NYSE,2026-04-06 08:05:32,done
0000006951,AMAT,APPLIED MATERIALS INC /DE,Nasdaq,2026-04-06 08:05:32,done
0000707549,LRCX,LAM RESEARCH CORP,Nasdaq,2026-04-06 08:05:33,done
0001306965,SHEL,Shell plc,NYSE,2026-04-06 08:05:34,done
0000101829,RTX,RTX Corp,NYSE,2026-04-06 08:05:35,done
0001413329,PM,Philip Morris International Inc.,NYSE,2026-04-06 08:05:35,done
0000895421,MS,MORGAN STANLEY,NYSE,2026-04-06 08:05:37,done
0000886982,GS,GOLDMAN SACHS GROUP INC,NYSE,2026-04-06 08:05:38,done
0000072971,WFC,WELLS FARGO & COMPANY/MN,NYSE,2026-04-06 08:05:39,done
